id,name,price
1,avoid,712.92
2,cause,280.17
3,current,880.28
4,third,680.5
5,yes,661.67
6,bed,841.73
7,imagine,421.37
8,pretty,530.49
9,but,891.11
10,various,470.97
11,guy,353.45
12,point,255.1
13,political,470.43
14,under,738.91
15,professional,186.13
16,dark,304.03
17,water,491.76
18,open,161.34
19,key,112.45
20,begin,159.55
21,third,511.76
22,if,276.88
23,manager,267.77
24,base,284.33
25,girl,874.09
26,wall,968.79
27,cultural,749.01
28,pay,313.31
29,degree,499.68
30,maybe,180.72
31,per,20.14
32,network,400.16
33,visit,648.85
34,then,860.17
35,hear,555.44
36,collection,258.9
37,out,613.83
38,give,659.02
39,discover,135.09
40,interview,692.72
41,member,395.95
42,amount,430.08
43,cultural,388.49
44,deal,387.95
45,might,237.97
46,end,316.69
47,without,505.85
48,goal,691.59
49,grow,678.13
50,consider,194.98
51,defense,737.53
52,service,48.46
53,cover,10.21
54,our,292.02
55,Mrs,374.58
56,goal,572.5
57,unit,671.25
58,stuff,512.84
59,forward,261.9
60,would,29.1
61,anyone,159.71
62,seven,901.57
63,listen,856.76
64,visit,178.09
65,of,856.93
66,whom,430.85
67,image,734.98
68,institution,120.11
69,door,473.71
70,body,753.76
71,able,274.75
72,late,533.23
73,may,626.8
74,add,412.99
75,glass,321.55
76,it,550.8
77,state,577.38
78,until,611.56
79,consumer,106.62
80,side,89.15
81,month,614.43
82,financial,734.91
83,entire,501.74
84,season,528.81
85,those,583.23
86,down,911.38
87,maintain,53.08
88,base,452.97
89,whether,148.14
90,get,423.99
91,than,373.77
92,put,263.3
93,peace,577.58
94,discussion,281.47
95,part,466.43
96,bad,974.4
97,federal,252.2
98,involve,156.42
99,answer,225.86
100,hot,609.56
101,college,592.68
102,citizen,759.25
103,friend,13.6
104,system,343.0
105,since,760.35
106,up,141.8
107,identify,170.38
108,edge,41.82
109,ahead,478.39
110,mouth,370.71
111,year,97.96
112,enter,239.8
113,may,825.1
114,ever,891.45
115,happen,396.6
116,stop,977.87
117,nearly,741.23
